Time,Voltage
02-03 12:10,15.2
02-03 12:20,15.3
02-03 12:30,15.3
02-03 12:40,15.3
02-03 12:50,15.2
02-03 13:00,15.2
02-03 13:10,15.3
02-03 13:20,15.3
02-03 13:30,15.2
02-03 13:40,15.0
02-03 13:50,15.1
02-03 14:00,14.9
02-03 14:10,14.8
02-03 14:20,15.0
02-03 14:30,15.1
02-03 14:40,15.2
02-03 14:50,15.2
02-03 15:00,14.9
02-03 15:10,14.9
02-03 15:20,15.0
02-03 15:30,15.1
02-03 15:40,15.1
02-03 15:50,15.0
02-03 16:00,15.0
02-03 16:10,15.0
02-03 16:20,14.5
02-03 16:30,30.2
02-03 16:40,27.2
02-03 16:50,13.2
02-03 17:00,13.4
02-03 17:10,13.3
02-03 17:20,12.7
02-03 17:30,3.4
02-03 17:40,0.8
02-03 17:50,0.2
02-03 18:00,0.0
02-03 18:10,0.0
02-03 18:20,0.0
02-03 18:31,0.0
02-03 18:41,0.0
02-03 18:51,-0.0
02-03 19:01,-0.0
02-03 19:11,-0.0
02-03 19:21,-0.0
02-03 19:31,0.0
02-03 19:41,0.0
02-03 19:51,0.0
02-03 20:01,0.0
02-03 20:11,0.0
02-03 20:21,-0.0
02-03 20:31,0.0
02-04 12:00,15.2
02-04 12:10,15.2
02-04 12:20,15.3
02-04 12:30,15.1
02-04 12:40,15.2
02-04 12:50,15.1
02-04 13:00,15.0
02-04 13:10,14.9
02-04 13:20,14.8
02-04 13:30,14.8
02-04 13:40,15.1
02-04 13:50,15.2
02-04 14:00,14.9
02-04 14:10,14.9
02-04 14:20,15.1
02-04 14:30,15.1
02-04 14:40,15.0
02-04 14:50,15.0
02-04 15:00,15.0
02-04 15:10,14.9
02-04 15:20,14.9
02-04 15:30,15.0
02-04 15:40,14.9
02-04 15:50,14.9
02-04 16:00,13.7
02-04 16:10,17.8
02-04 16:20,13.6
02-04 16:30,13.5
02-04 16:40,23.1
02-04 16:50,13.4
02-04 17:00,13.3
02-06 12:00,42.1
02-06 12:10,42.0
02-06 12:20,42.0
02-06 12:30,41.9
02-06 12:40,41.9
02-06 12:50,41.9
02-06 13:00,42.0
02-06 13:10,42.1
02-06 13:20,42.1
02-06 13:30,42.0
02-06 13:40,41.9
02-06 13:50,41.9
02-06 14:00,41.9
02-06 14:10,41.8
02-06 14:20,41.7
02-06 14:30,41.6
02-06 14:40,41.5
02-06 14:50,41.4
02-06 15:00,41.2
02-06 15:10,15.2
02-06 15:20,15.7
02-06 15:30,14.6
02-06 15:40,14.4
