Time, Leisure, Van
02-11 18:50,13.3,13.3
02-11 19:00,13.4,13.4
02-11 19:10,13.3,13.3
02-11 19:20,13.3,13.3
02-11 19:30,13.3,13.3
02-11 19:40,13.3,13.3
02-11 19:50,13.3,13.3
02-11 20:00,13.3,13.3
02-11 20:10,13.3,13.3
02-11 20:20,13.3,13.3
02-11 20:30,13.3,13.3
02-11 20:40,13.3,13.3
02-11 20:50,13.3,13.3
02-11 21:00,13.4,13.3
02-11 21:10,13.3,13.3
02-11 21:20,13.4,13.3
02-11 21:30,13.3,13.3
02-11 21:40,13.3,13.3
02-11 21:50,13.3,13.3
02-11 22:00,13.3,13.3
02-11 22:10,13.4,13.3
02-11 22:20,13.4,13.3
02-11 22:30,13.4,13.3
02-11 22:40,13.4,13.3
02-11 22:50,13.4,13.3
02-11 23:00,13.3,13.3
02-11 23:10,13.3,13.3
02-11 23:20,13.4,13.3
02-11 23:30,13.4,13.3
02-11 23:40,13.3,13.3
02-11 23:50,13.4,13.4
02-12 00:00,13.3,13.3
02-12 00:10,13.4,13.3
02-12 00:20,13.3,13.3
02-12 00:30,13.4,13.3
02-12 00:40,13.4,13.3
02-12 00:50,13.3,13.3
02-12 01:00,13.3,13.3
02-12 01:10,13.3,13.3
02-12 01:20,13.4,13.4
02-12 01:30,13.3,13.3
02-12 01:40,13.4,13.4
02-12 01:50,13.4,13.3
02-12 02:00,13.3,13.3
02-12 02:10,13.4,13.3
02-12 02:20,13.4,13.3
02-12 02:30,13.3,13.3
02-12 02:40,13.4,13.4
02-12 02:50,13.3,13.3
02-12 03:00,13.3,13.3
02-12 03:10,13.4,13.3
02-12 03:21,13.4,13.3
02-12 03:31,13.3,13.3
02-12 03:41,13.3,13.3
02-12 03:51,13.3,13.3
02-12 04:01,13.4,13.3
02-12 04:11,13.4,13.3
02-12 04:21,13.3,13.3
02-12 04:31,13.4,13.3
02-12 04:41,13.4,13.3
02-12 04:51,13.3,13.3
02-12 05:01,13.4,13.3
02-12 05:11,13.4,13.3
02-12 05:21,13.3,13.3
02-12 05:31,13.4,13.3
02-12 05:41,13.3,13.3
02-12 05:51,13.3,13.3
02-12 06:01,13.3,13.3
02-12 06:11,13.4,13.3
02-12 06:21,13.3,13.3
02-12 06:31,13.4,13.3
02-12 06:41,13.4,13.3
02-12 06:51,13.4,13.4
02-12 07:01,13.3,13.3
02-12 07:11,13.4,13.3
02-12 07:21,13.3,13.3
02-12 07:31,13.4,13.3
02-12 07:41,13.3,13.3
02-12 07:51,13.3,13.3
02-12 08:01,13.4,13.3
02-12 08:11,13.4,13.4
02-12 08:21,13.4,13.4
02-12 08:31,13.4,13.4
02-12 08:41,13.4,13.4
02-12 08:51,13.5,13.4
02-12 09:01,13.4,13.4
02-12 09:11,13.4,13.4
02-12 09:21,13.4,13.4
02-12 09:31,13.5,13.4
02-12 09:41,13.5,13.5
02-12 09:51,13.5,13.5
02-12 10:01,13.5,13.4
02-12 10:11,13.4,13.3
02-12 10:21,13.3,13.3
02-12 10:31,13.3,13.2
02-12 10:41,13.2,13.2
02-12 10:51,13.4,13.4
02-12 11:01,13.5,13.4
02-12 11:11,13.4,13.3
02-12 11:21,13.3,13.3
02-12 11:31,13.4,13.3
02-12 11:41,13.4,13.3
02-12 11:51,13.4,13.4
02-12 12:00,14.5,14.5
02-12 12:10,14.6,14.5
02-12 12:20,14.7,14.6
02-12 12:30,14.7,14.6
02-12 12:40,14.6,14.5
02-12 12:50,14.5,14.5
02-12 13:00,14.5,14.5
02-12 13:10,14.5,14.5
02-12 13:20,14.6,14.6
02-12 13:30,14.5,14.4
02-12 13:40,14.6,14.6
02-12 13:50,14.5,14.5
02-12 14:00,14.6,14.6
02-12 14:10,13.9,13.9
02-12 14:20,13.9,13.8
02-12 14:30,13.9,13.9
02-12 14:40,13.9,13.8
02-12 14:50,13.8,13.8
02-12 15:00,13.7,13.6
02-12 15:10,13.4,13.4
02-12 15:20,13.3,13.3
02-12 15:30,13.2,13.2
02-12 15:40,13.3,13.3
02-12 15:50,13.3,13.3
02-12 16:00,13.3,13.3
02-12 16:10,13.3,13.3
02-12 16:20,13.3,13.3
02-12 16:30,13.3,13.3
02-12 16:40,13.3,13.3
02-12 16:50,13.3,13.3
02-12 17:00,13.2,13.2
02-12 17:10,13.1,13.1
02-12 17:20,13.2,13.1
02-12 17:30,13.2,13.2
02-12 17:40,13.2,13.2
02-12 17:50,13.2,13.2
02-12 18:00,13.2,13.2
02-12 18:10,13.2,13.2
02-12 18:20,13.2,13.2
02-12 18:30,13.2,13.2
02-12 18:40,13.2,13.2
02-12 18:50,13.2,13.2
02-12 19:00,13.3,13.2
02-12 19:10,13.3,13.2
02-12 19:20,13.3,13.3
02-12 19:30,13.3,13.3
02-12 19:40,13.3,13.3
02-12 19:50,13.3,13.3
02-12 20:00,13.3,13.3
02-12 20:10,13.3,13.2
02-12 20:20,13.3,13.3
02-12 20:30,13.3,13.3
02-12 20:40,13.3,13.3
02-12 20:50,13.3,13.3
02-12 21:00,13.3,13.3
02-12 21:10,13.3,13.3
02-12 21:20,13.3,13.3
02-12 21:30,13.3,13.2
02-12 21:40,13.3,13.3
02-12 21:50,13.3,13.3
02-12 22:00,13.3,13.3
02-12 22:10,13.3,13.3
02-12 22:20,13.3,13.3
02-12 22:30,13.3,13.3
02-12 22:40,13.3,13.2
02-12 22:50,13.3,13.3
02-12 23:00,13.3,13.3
02-12 23:10,13.3,13.3
02-12 23:20,13.3,13.3
02-12 23:30,13.3,13.2
02-12 23:40,13.3,13.2
02-12 23:50,13.4,13.3
02-13 00:00,13.3,13.2
02-13 00:10,13.3,13.3
02-13 00:20,13.3,13.3
02-13 00:30,13.3,13.3
02-13 00:40,13.3,13.3
02-13 00:50,13.3,13.3
02-13 01:00,13.3,13.3
02-13 01:10,13.3,13.3
02-13 01:20,13.3,13.3
02-13 01:30,13.3,13.3
02-13 01:40,13.3,13.3
02-13 01:50,13.3,13.3
02-13 02:00,13.3,13.3
02-13 02:10,13.3,13.3
02-13 02:20,13.3,13.3
02-13 02:30,13.3,13.3
02-13 02:40,13.3,13.3
02-13 02:50,13.3,13.3
02-13 03:01,13.3,13.3
02-13 03:11,13.3,13.3
02-13 03:21,13.3,13.3
02-13 03:31,13.3,13.3
02-13 03:41,13.3,13.3
02-13 03:51,13.3,13.3
02-13 04:01,13.3,13.3
02-13 04:11,13.3,13.3
02-13 04:21,13.3,13.3
02-13 04:31,13.3,13.3
02-13 04:41,13.4,13.3
02-13 04:51,13.3,13.3
02-13 05:01,13.3,13.3
02-13 05:11,13.3,13.3
02-13 05:21,13.3,13.3
02-13 05:31,13.3,13.3
02-13 05:41,13.3,13.3
02-13 05:51,13.3,13.3
02-13 06:01,13.3,13.3
02-13 06:11,13.3,13.2
02-13 06:21,13.3,13.3
02-13 06:31,13.3,13.3
02-13 06:41,13.3,13.3
02-13 06:51,13.2,13.3
02-13 07:01,13.3,13.3
02-13 07:11,13.3,13.3
02-13 07:21,13.3,13.3
02-13 07:31,13.3,13.3
02-13 07:41,13.2,13.2
02-13 07:51,13.3,13.3
02-13 08:01,13.4,13.3
02-13 08:11,13.4,13.4
02-13 08:21,13.4,13.3
02-13 08:31,13.4,13.4
02-13 08:41,13.4,13.4
02-13 08:51,13.4,13.4
02-13 09:01,13.4,13.4
02-13 09:11,13.5,13.4
02-13 09:21,13.5,13.5
02-13 09:31,13.5,13.5
02-13 09:41,13.5,13.5
02-13 09:51,14.5,14.5
02-13 10:01,13.7,13.7
02-13 10:11,14.7,14.6
02-13 10:21,14.7,14.7
02-13 10:31,14.5,14.5
02-13 10:41,14.6,14.5
02-13 10:51,14.6,14.6
02-13 11:01,14.6,14.6
02-13 11:11,14.6,14.5
02-13 11:21,14.5,14.5
02-13 11:31,14.4,14.4
02-13 11:41,14.4,14.4
02-13 11:51,14.5,14.4
02-13 12:00,14.3,14.3
02-13 12:10,13.7,13.7
02-13 12:20,13.7,13.7
02-13 12:30,13.6,13.7
02-13 12:40,13.8,13.7
02-13 12:50,13.7,13.7
02-13 13:00,13.8,13.8
02-13 13:10,13.8,13.7
02-13 13:20,13.8,13.7
02-13 13:30,13.7,13.7
02-13 13:40,13.8,13.7
02-13 13:50,13.8,13.8
02-13 14:00,13.8,13.8
02-13 14:10,13.7,13.7
02-13 14:20,13.8,13.7
02-13 14:30,13.7,13.7
02-13 14:40,13.7,13.7
02-13 14:50,13.7,13.7
02-13 15:00,13.7,13.7
02-13 15:10,13.3,13.4
02-13 15:20,13.2,13.2
02-13 15:30,13.2,13.2
02-13 15:40,13.2,13.2
02-13 15:50,13.3,13.3
02-13 16:00,13.2,13.2
02-13 16:10,13.3,13.2
02-13 16:20,13.3,13.2
02-13 16:30,13.3,13.2
02-13 16:40,13.3,13.2
02-13 16:50,13.3,13.2
02-13 17:00,13.2,13.2
02-13 17:10,13.2,13.2
02-13 17:20,13.2,13.2
02-13 17:30,13.2,13.2
02-13 17:40,13.2,13.2
02-13 17:50,13.3,13.2
02-13 18:00,13.2,13.2
02-13 18:10,13.3,13.3
02-13 18:20,13.3,13.2
02-13 18:30,13.2,13.2
02-13 18:40,13.3,13.2
02-13 18:50,13.2,13.2
02-13 19:00,13.2,13.2
02-13 19:10,13.3,13.3
02-13 19:20,13.3,13.2
02-13 19:30,13.3,13.2
02-13 19:40,13.3,13.2
02-13 19:50,13.2,13.2
02-13 20:00,13.2,13.2
02-13 20:10,13.3,13.2
02-13 20:20,13.3,13.2
02-13 20:30,13.2,13.2
02-13 20:40,13.3,13.2
02-13 20:50,13.3,13.2
02-13 21:00,13.3,13.2
02-13 21:10,13.3,13.2
02-13 21:20,13.3,13.2
02-13 21:30,13.3,13.3
02-13 21:40,13.2,13.2
02-13 21:50,13.3,13.2
02-13 22:00,13.2,13.2
02-13 22:10,13.3,13.2
02-13 22:20,13.3,13.2
02-13 22:30,13.3,13.2
02-13 22:40,13.3,13.2
02-13 22:50,13.2,13.2
02-13 23:00,13.2,13.2
02-13 23:10,13.3,13.2
02-13 23:20,13.2,13.2
02-13 23:30,13.3,13.3
02-13 23:40,13.3,13.2
02-13 23:50,13.2,13.2
02-14 00:00,13.2,13.2
02-14 00:10,13.3,13.2
02-14 00:20,13.2,13.2
02-14 00:30,13.3,13.2
02-14 00:40,13.2,13.2
02-14 00:50,13.3,13.3
02-14 01:00,13.3,13.2
02-14 01:10,13.3,13.3
02-14 01:20,13.3,13.3
02-14 01:30,13.2,13.2
02-14 01:40,13.3,13.2
02-14 01:50,13.3,13.2
02-14 02:00,13.2,13.2
02-14 02:10,13.3,13.3
02-14 02:20,13.3,13.2
02-14 02:30,13.3,13.2
02-14 02:40,13.3,13.2
02-14 02:50,13.3,13.2
02-14 03:00,13.3,13.3
02-14 03:10,13.3,13.3
02-14 03:20,13.2,13.2
02-14 03:31,13.3,13.2
02-14 03:41,13.3,13.2
02-14 03:51,13.2,13.2
02-14 04:01,13.3,13.3
02-14 04:11,13.2,13.2
02-14 04:21,13.3,13.2
02-14 04:31,13.2,13.2
02-14 04:41,13.3,13.2
02-14 04:51,13.3,13.3
02-14 05:01,13.2,13.2
02-14 05:11,13.3,13.3
02-14 05:21,13.3,13.2
02-14 05:31,13.3,13.3
02-14 05:41,13.3,13.3
02-14 05:51,13.3,13.2
02-14 06:01,13.3,13.3
02-14 06:11,13.3,13.2
02-14 06:21,13.3,13.2
02-14 06:31,13.3,13.3
02-14 06:41,13.2,13.2
02-14 06:51,13.2,13.2
02-14 07:01,13.3,13.2
02-14 07:11,13.3,13.3
02-14 07:21,13.3,13.3
02-14 07:31,13.3,13.3
02-14 07:41,13.3,13.3
02-14 07:51,13.3,13.3
02-14 08:01,13.4,13.3
02-14 08:11,13.4,13.3
02-14 08:21,13.3,13.3
02-14 08:31,13.4,13.3
02-14 08:41,13.5,13.4
02-14 08:51,13.5,13.4
02-14 09:01,13.6,13.5
02-14 09:11,13.4,13.4
02-14 09:21,13.5,13.5
02-14 09:31,13.7,13.7
02-14 09:41,13.8,13.7
02-14 09:51,14.7,14.7
02-14 10:01,14.7,14.6
02-14 10:11,14.7,14.6
02-14 10:21,14.7,14.7
02-14 10:31,14.6,14.5
02-14 10:41,14.4,14.4
02-14 10:51,14.5,14.5
02-14 11:01,14.5,14.5
02-14 11:11,14.4,14.4
02-14 11:21,14.5,14.4
02-14 11:31,14.5,14.4
02-14 11:41,14.4,14.4
02-14 11:51,13.7,13.7
02-14 12:00,13.7,13.7
02-14 12:10,13.7,13.7
02-14 12:20,13.7,13.7
02-14 12:30,13.7,13.7
02-14 12:40,13.7,13.7
02-14 12:50,13.6,13.7
02-14 13:00,13.6,13.6
02-14 13:10,13.6,13.6
02-14 13:20,13.7,13.7
02-14 13:30,13.6,13.6
02-14 13:40,13.6,13.6
02-14 13:50,13.6,13.6
02-14 14:00,13.6,13.6
02-14 14:10,13.6,13.6
02-14 14:20,13.6,13.6
02-14 14:30,13.6,13.6
02-14 14:40,13.6,13.6
02-14 14:50,13.6,13.6
02-14 15:00,13.6,13.6
02-14 15:10,13.3,13.3
02-14 15:20,13.2,13.2
02-14 15:30,13.2,13.2
02-14 15:40,13.2,13.2
02-14 15:50,13.3,13.2
02-14 16:00,13.3,13.3
02-14 16:10,13.4,13.4
02-14 16:20,13.3,13.3
02-14 16:30,13.3,13.4
02-14 16:40,13.4,13.4
02-14 16:50,13.3,13.3
02-14 17:00,13.4,13.4
02-14 17:10,13.3,13.3
02-14 17:20,13.4,13.3
02-14 17:30,13.3,13.3
02-14 17:40,13.3,13.3
02-14 17:50,13.4,13.3
02-14 18:00,13.3,13.3
02-14 18:10,13.3,13.3
02-14 18:20,13.3,13.3
02-14 18:30,13.3,13.3
02-14 18:40,13.3,13.3
02-14 18:50,13.3,13.3
02-14 19:00,13.3,13.3
02-14 19:10,13.3,13.3
02-14 19:20,13.3,13.3
02-14 19:30,13.3,13.3
02-14 19:40,13.3,13.3
02-14 19:50,13.3,13.3
02-14 20:00,13.3,13.3
02-14 20:10,13.3,13.3
02-14 20:20,13.2,13.2
02-14 20:30,13.3,13.3
02-14 20:40,13.3,13.3
02-14 20:50,13.3,13.3
02-14 21:00,13.3,13.3
02-14 21:10,13.3,13.3
02-14 21:20,13.3,13.3
02-14 21:30,13.3,13.3
02-14 21:40,13.3,13.3
02-14 21:50,13.3,13.3
02-14 22:00,13.3,13.3
02-14 22:10,13.4,13.3
02-14 22:20,13.3,13.3
02-14 22:30,13.3,13.3
02-14 22:40,13.3,13.3
02-14 22:50,13.3,13.3
02-14 23:00,13.3,13.3
02-14 23:10,13.4,13.3
02-14 23:20,13.3,13.3
02-14 23:30,13.3,13.3
02-14 23:40,13.3,13.3
02-14 23:50,13.3,13.3
02-15 00:00,13.3,13.3
02-15 00:10,13.2,13.3
02-15 00:20,13.3,13.3
02-15 00:30,13.3,13.3
02-15 00:40,13.3,13.3
02-15 00:50,13.3,13.3
02-15 01:00,13.3,13.3
02-15 01:10,13.2,13.3
02-15 01:20,13.3,13.3
02-15 01:30,13.2,13.3
02-15 01:40,13.3,13.3
02-15 01:50,13.3,13.3
02-15 02:00,13.2,13.3
02-15 02:10,13.3,13.3
02-15 02:20,13.3,13.3
02-15 02:31,13.3,13.3
02-15 02:41,13.3,13.3
02-15 02:51,13.2,13.3
02-15 03:01,13.3,13.3
02-15 03:11,13.3,13.3
02-15 03:21,13.3,13.3
02-15 03:31,13.3,13.3
02-15 03:41,13.3,13.3
02-15 03:51,13.3,13.3
02-15 04:01,13.3,13.3
02-15 04:11,13.3,13.3
02-15 04:21,13.3,13.3
02-15 04:31,13.3,13.3
02-15 04:41,13.4,13.3
02-15 04:51,13.3,13.3
02-15 05:01,13.3,13.3
02-15 05:11,13.3,13.3
02-15 05:21,13.3,13.3
02-15 05:31,13.3,13.3
02-15 05:41,13.4,13.3
02-15 05:51,13.3,13.3
02-15 06:01,13.3,13.3
02-15 06:11,13.3,13.3
02-15 06:21,13.3,13.3
02-15 06:31,13.3,13.3
02-15 06:41,13.2,13.3
02-15 06:51,13.3,13.3
02-15 07:01,13.3,13.3
02-15 07:11,13.3,13.3
02-15 07:21,13.3,13.3
02-15 07:31,13.3,13.3
02-15 07:41,13.3,13.3
02-15 07:51,13.3,13.3
02-15 08:01,13.3,13.3
02-15 08:11,13.3,13.4
02-15 08:21,13.4,13.4
02-15 08:31,13.4,13.4
02-15 08:41,13.4,13.4
02-15 08:51,13.4,13.4
02-15 09:01,13.3,13.4
02-15 09:11,13.4,13.5
02-15 09:21,13.5,13.4
02-15 09:31,13.8,13.8
02-15 09:41,13.5,13.5
02-15 09:51,14.6,14.6
02-15 10:01,14.6,14.6
02-15 10:11,14.5,14.5
02-15 10:21,14.5,14.4
02-15 10:31,14.5,14.5
02-15 10:41,14.5,14.5
02-15 10:51,14.4,14.4
02-15 11:01,14.4,14.3
02-15 11:11,14.5,14.4
02-15 11:21,14.4,14.4
02-15 11:31,14.3,14.3
02-15 11:41,14.4,14.4
02-15 11:51,13.7,13.7
02-15 12:00,13.8,13.7
02-15 12:10,13.8,13.7
02-15 12:20,13.8,13.7
02-15 12:30,13.7,13.7
02-15 12:40,13.7,13.7
02-15 12:50,13.8,13.7
02-15 13:00,13.7,13.7
02-15 13:10,13.8,13.7
02-15 13:20,13.8,13.7
02-15 13:30,13.8,13.7
02-15 13:40,13.5,13.5
02-15 13:50,13.6,13.6
02-15 14:00,13.4,13.4
02-15 14:10,13.4,13.4
02-15 14:20,13.2,13.2
02-15 14:30,13.3,13.2
02-15 14:40,13.4,13.3
02-15 14:50,13.4,13.3
02-15 15:00,13.3,13.3
02-15 15:10,13.4,13.3
02-15 15:20,13.4,13.4
02-15 15:30,13.4,13.3
02-15 15:40,13.4,13.4
02-15 15:50,13.3,13.3
02-15 16:00,13.3,13.3
02-15 16:10,13.3,13.3
02-15 16:20,13.4,13.4
02-15 16:30,13.3,13.3
02-15 16:40,13.3,13.3
02-15 16:50,13.4,13.3
02-15 17:00,13.4,13.3
02-15 17:10,13.3,13.3
02-15 17:20,13.4,13.3
02-15 17:30,13.3,13.3
02-15 17:40,13.3,13.3
02-15 17:50,13.3,13.3
02-15 18:00,13.3,13.3
02-15 18:10,13.3,13.3
02-15 18:20,13.3,13.3
02-15 18:30,13.3,13.3
02-15 18:40,13.3,13.3
02-15 18:50,13.3,13.3
02-15 19:00,13.3,13.3
02-15 19:10,13.3,13.3
02-15 19:20,13.3,13.3
02-15 19:30,13.3,13.3
02-15 19:40,13.3,13.3
02-15 19:50,13.4,13.3
02-15 20:00,13.3,13.3
02-15 20:10,13.3,13.3
02-15 20:20,13.3,13.3
02-15 20:30,13.3,13.3
02-15 20:40,13.3,13.3
02-15 20:50,13.3,13.3
02-15 21:00,13.3,13.3
02-15 21:10,13.3,13.3
02-15 21:20,13.3,13.3
02-15 21:30,13.3,13.3
02-15 21:40,13.3,13.3
02-15 21:50,13.3,13.3
02-15 22:00,13.3,13.3
02-15 22:10,13.3,13.3
02-15 22:20,13.3,13.3
02-15 22:30,13.3,13.3
02-15 22:40,13.4,13.3
02-15 22:50,13.4,13.3
02-15 23:00,13.4,13.3
02-15 23:10,13.4,13.3
02-15 23:20,13.3,13.3
02-15 23:30,13.4,13.3
02-15 23:40,13.3,13.3
02-15 23:50,13.4,13.3
02-16 00:00,13.4,13.3
02-16 00:10,13.4,13.3
02-16 00:20,13.4,13.3
02-16 00:30,13.4,13.3
02-16 00:40,13.4,13.3
02-16 00:50,13.4,13.3
02-16 01:00,13.4,13.3
02-16 01:10,13.3,13.3
02-16 01:20,13.3,13.3
02-16 01:30,13.4,13.3
02-16 01:40,13.4,13.3
02-16 01:50,13.4,13.3
02-16 02:00,13.4,13.3
02-16 02:10,13.3,13.3
02-16 02:20,13.3,13.3
02-16 02:30,13.3,13.3
02-16 02:41,13.3,13.3
02-16 02:51,13.3,13.3
02-16 03:01,13.3,13.3
02-16 03:11,13.3,13.3
02-16 03:21,13.3,13.3
02-16 03:31,13.3,13.3
02-16 03:41,13.3,13.3
02-16 03:51,13.3,13.3
02-16 04:01,13.3,13.3
02-16 04:11,13.3,13.3
02-16 04:21,13.3,13.3
02-16 04:31,13.3,13.3
02-16 04:41,13.3,13.3
02-16 04:51,13.3,13.3
02-16 05:01,13.3,13.2
02-16 05:11,13.2,13.2
02-16 05:21,13.2,13.2
02-16 05:31,13.3,13.2
02-16 05:41,13.3,13.2
02-16 05:51,13.3,13.2
02-16 06:01,13.2,13.2
02-16 06:11,13.2,13.2
02-16 06:21,13.2,13.2
02-16 06:31,13.2,13.2
02-16 06:41,13.2,13.2
02-16 06:51,13.3,13.2
02-16 07:01,13.3,13.3
02-16 07:11,13.3,13.3
02-16 07:21,13.3,13.3
02-16 07:31,13.3,13.3
02-16 07:41,13.3,13.3
02-16 07:51,13.3,13.3
02-16 08:01,13.3,13.3
02-16 08:11,13.4,13.3
02-16 08:21,13.4,13.4
02-16 08:31,13.4,13.4
02-16 08:41,13.4,13.4
02-16 08:51,13.4,13.4
02-16 09:01,13.6,13.5
02-16 09:11,13.5,13.5
02-16 09:21,13.5,13.5
02-16 09:31,13.6,13.5
02-16 09:41,13.4,13.4
02-16 09:51,13.6,13.6
02-16 10:01,14.6,14.5
02-16 10:11,14.7,14.6
02-16 10:21,13.7,13.7
02-16 10:31,13.7,13.7
02-16 10:41,13.9,13.9
02-16 10:51,13.8,13.7
02-16 11:01,14.6,14.5
02-16 11:11,14.6,14.5
02-16 11:21,14.5,14.5
02-16 11:31,13.8,13.8
02-16 11:41,14.5,14.5
02-16 11:51,14.6,14.5
02-16 12:00,14.6,14.6
02-16 12:10,14.5,14.4
02-16 12:20,13.8,13.7
02-16 12:30,13.7,13.7
02-16 12:40,15.1,15.1
02-16 12:50,14.6,14.6
02-16 13:00,14.5,14.4
02-16 13:10,14.5,14.4
02-16 13:20,14.6,14.6
02-16 13:30,14.5,14.5
02-16 13:40,14.4,14.4
02-16 13:50,14.4,14.4
02-16 14:00,13.8,13.8
02-16 14:10,13.8,13.8
02-16 14:20,13.8,13.8
02-16 14:30,13.8,13.8
02-16 14:40,13.9,13.9
02-16 14:50,13.9,13.9
02-16 15:00,13.9,13.9
02-16 15:10,13.1,13.1
02-16 15:20,13.3,13.3
02-16 15:30,13.6,13.5
02-16 15:40,13.6,13.5
02-16 15:50,13.5,13.5
02-16 16:00,13.5,13.4
02-16 16:10,13.5,13.4
02-16 16:20,13.5,13.4
02-16 16:30,13.4,13.4
02-16 16:40,13.4,13.4
02-16 16:50,13.4,13.4
02-16 17:00,13.4,13.4
02-16 17:10,13.4,13.4
02-16 17:20,13.4,13.4
02-16 17:30,13.4,13.4
02-16 17:40,13.4,13.4
02-16 17:50,13.4,13.4
02-16 18:00,13.4,13.4
02-16 18:10,13.4,13.4
02-16 18:20,13.4,13.4
02-16 18:30,13.4,13.4
02-16 18:40,13.4,13.3
02-16 18:50,13.4,13.4
02-16 19:00,13.4,13.4
02-16 19:10,13.4,13.4
02-16 19:20,13.4,13.4
02-16 19:30,13.4,13.4
02-16 19:40,13.4,13.4
02-16 19:50,13.4,13.4
02-16 20:00,13.4,13.4
02-16 20:10,13.4,13.4
02-16 20:20,13.4,13.4
02-16 20:30,13.4,13.4
02-16 20:40,13.4,13.4
02-16 20:50,13.2,13.2
02-16 21:00,13.1,13.1
02-16 21:10,13.2,13.1
02-16 21:20,13.4,13.3
02-16 21:30,13.4,13.4
02-16 21:40,13.4,13.4
02-16 21:50,13.4,13.4
02-16 22:00,13.4,13.4
02-16 22:10,13.4,13.4
02-16 22:20,13.4,13.4
02-16 22:30,13.4,13.4
02-16 22:40,13.4,13.4
02-16 22:50,13.4,13.4
02-16 23:00,13.4,13.4
02-16 23:10,13.4,13.4
02-16 23:20,13.4,13.4
02-16 23:30,13.4,13.4
02-16 23:40,13.4,13.4
02-16 23:50,13.4,13.4
02-17 00:00,13.4,13.4
02-17 00:10,13.4,13.4
02-17 00:20,13.4,13.4
02-17 00:30,13.4,13.4
02-17 00:40,13.4,13.4
02-17 00:50,13.4,13.4
02-17 01:00,13.4,13.4
02-17 01:10,13.4,13.4
02-17 01:20,13.4,13.4
02-17 01:30,13.4,13.4
02-17 01:40,13.4,13.4
02-17 01:50,13.4,13.4
02-17 02:00,13.4,13.4
02-17 02:11,13.4,13.4
02-17 02:21,13.4,13.4
02-17 02:31,13.4,13.3
02-17 02:41,13.4,13.4
02-17 02:51,13.4,13.4
02-17 03:01,13.4,13.4
02-17 03:11,13.4,13.4
02-17 03:21,13.4,13.4
02-17 03:31,13.4,13.4
02-17 03:41,13.4,13.4
02-17 03:51,13.4,13.4
02-17 04:01,13.4,13.4
02-17 04:11,13.4,13.4
02-17 04:21,13.4,13.4
02-17 04:31,13.4,13.4
02-17 04:41,13.4,13.4
02-17 04:51,13.4,13.4
02-17 05:01,13.4,13.4
02-17 05:11,13.4,13.4
02-17 05:21,13.4,13.4
02-17 05:31,13.4,13.4
02-17 05:41,13.4,13.4
02-17 05:51,13.4,13.4
02-17 06:01,13.4,13.4
02-17 06:11,13.3,13.3
02-17 06:21,13.4,13.4
02-17 06:31,13.4,13.4
02-17 06:41,13.4,13.4
02-17 06:51,13.4,13.4
02-17 07:01,13.4,13.4
02-17 07:11,13.4,13.4
02-17 07:21,13.4,13.4
02-17 07:31,13.4,13.4
02-17 07:41,13.4,13.4
02-17 07:51,13.4,13.4
02-17 08:01,13.4,13.4
02-17 08:11,13.4,13.4
02-17 08:21,13.4,13.4
02-17 08:31,13.4,13.4
02-17 08:41,13.4,13.4
02-17 08:51,13.4,13.4
02-17 09:01,13.5,13.4
02-17 09:11,13.5,13.4
02-17 09:21,13.5,13.5
02-17 09:31,13.5,13.5
02-17 09:41,13.5,13.5
02-17 09:51,13.6,13.5
02-17 10:01,13.5,13.5
02-17 10:11,13.6,13.6
02-17 10:21,13.1,13.1
02-17 10:31,13.3,13.3
02-17 10:41,13.4,13.4
02-17 10:51,13.6,13.6
02-17 11:01,13.6,13.6
02-17 11:11,13.2,13.2
02-17 11:21,14.1,14.1
02-17 11:31,14.6,14.5
02-17 11:41,14.5,14.4
02-17 11:51,14.4,14.4
02-17 12:00,14.0,13.9
02-17 12:10,13.8,13.7
02-17 12:20,14.1,14.1
02-17 12:30,14.4,14.4
02-17 12:40,13.9,13.8
02-17 12:50,14.2,14.1
02-17 13:00,14.4,14.4
02-17 13:10,13.5,13.5
02-17 13:20,14.4,14.4
02-17 13:30,14.4,14.3
02-17 13:40,14.3,14.3
02-17 13:50,13.0,13.0
02-17 14:00,14.3,14.2
02-17 14:10,14.4,14.3
02-17 14:20,14.3,14.2
02-17 14:30,14.4,14.4
02-17 14:40,14.4,14.3
02-17 14:50,13.3,13.2
02-17 15:00,13.5,13.5
02-17 15:10,13.5,13.5
02-17 15:20,13.4,13.3
02-17 15:30,13.6,13.5
02-17 15:40,13.6,13.6
02-17 15:50,13.4,13.4
02-17 16:00,13.4,13.3
02-17 16:10,13.5,13.4
02-17 16:20,13.5,13.5
02-17 16:30,13.3,13.3
02-17 16:40,13.4,13.4
02-17 16:50,13.2,13.5
02-17 17:00,12.9,13.3
02-17 17:10,13.2,13.2
02-17 17:20,13.3,13.3
02-17 17:30,13.1,13.1
02-17 17:40,13.2,13.1
02-18 12:00,13.6,13.5
02-19 12:00,14.6,14.6
02-19 12:10,14.4,14.3
02-19 12:20,14.5,14.4
02-19 12:30,14.5,14.5
02-19 12:40,13.8,13.8
02-19 12:50,13.8,13.8
02-19 13:00,13.9,13.8
02-19 13:10,14.0,13.9
02-19 13:20,13.9,13.8
02-19 13:30,13.5,13.4
02-19 13:40,12.8,12.7
02-19 13:50,13.2,13.1
02-19 14:00,13.1,13.1
02-19 14:10,13.1,13.0
02-19 14:20,13.0,13.0
