Time, Temp C, Humidity %
02-03 12:20,15,41
02-03 12:30,12,41
02-03 12:40,15,41
02-03 12:50,13,41
02-03 13:00,13,40
02-03 13:10,14,43
02-03 13:20,13,42
02-03 13:30,13,44
02-03 13:40,14,42
02-03 13:50,16,42
02-03 14:00,14,41
02-03 14:10,16,39
02-03 14:20,16,38
02-03 14:30,14,38
02-03 14:40,15,37
02-03 14:50,15,35
02-03 15:00,16,34
02-03 15:10,18,37
02-03 15:20,17,37
02-03 15:30,17,37
02-03 15:40,19,38
02-03 15:50,17,37
02-03 16:00,20,36
02-03 16:10,19,37
02-03 16:20,20,34
02-03 16:30,20,34
02-03 16:40,22,36
02-03 16:50,19,36
02-03 17:00,18,37
02-03 17:10,19,38
02-03 17:20,20,36
02-03 17:30,20,36
02-03 17:40,18,35
02-03 17:50,17,35
02-03 18:00,17,35
02-03 18:10,18,35
02-03 18:20,15,34
02-03 18:31,16,34
02-03 18:41,14,35
02-03 18:51,14,35
02-03 19:01,15,35
02-03 19:11,13,37
02-03 19:21,15,36
02-03 19:31,17,38
02-03 19:41,18,37
02-03 19:51,18,37
02-03 20:01,18,36
02-03 20:11,16,36
02-03 20:21,16,37
02-03 20:31,18,38
02-04 12:00,9,37
02-04 12:10,10,37
02-04 12:20,11,35
02-04 12:30,11,37
02-04 12:40,9,38
02-04 12:50,13,41
02-04 13:00,16,44
02-04 13:10,17,38
02-04 13:20,16,34
02-04 13:30,15,35
02-04 13:40,14,37
02-04 13:50,15,38
02-04 14:00,12,39
02-04 14:10,13,38
02-04 14:20,13,37
02-04 14:30,13,39
02-04 14:40,12,37
02-04 14:50,13,39
02-04 15:00,13,37
02-04 15:10,13,36
02-04 15:20,13,36
02-04 15:30,14,35
02-04 15:40,16,33
02-04 15:50,14,33
02-04 16:00,13,32
02-04 16:10,15,32
02-04 16:20,15,35
02-04 16:30,18,36
02-04 16:40,16,37
02-04 16:50,17,34
02-04 17:00,15,36
02-06 12:00,17,25
02-06 12:10,19,25
02-06 12:20,18,23
02-06 12:30,18,24
02-06 12:40,19,23
02-06 12:50,19,23
02-06 13:00,20,21
02-06 13:10,19,25
02-06 13:20,20,24
02-06 13:30,19,24
02-06 13:40,21,25
02-06 13:50,21,26
02-06 14:00,22,27
02-06 14:10,22,25
02-06 14:20,21,24
02-06 14:30,21,26
02-06 14:40,21,26
02-06 14:50,20,25
02-06 15:00,21,24
02-06 15:10,19,24
02-06 15:20,20,26
02-06 15:30,19,25
02-06 15:40,18,25
02-06 15:50,18,25
02-06 16:00,15,24
02-06 16:10,16,22
02-06 16:20,17,23
02-06 16:30,15,23
02-06 16:40,13,23
02-06 16:50,13,24
02-06 17:00,13,23
02-06 17:03,13,21
02-06 17:13,14,24
02-06 17:23,13,25
02-06 17:33,11,22
02-06 17:43,10,23
02-06 17:53,10,22
02-07 12:00,17,28
02-07 12:10,20,26
02-07 12:20,18,25
02-07 12:30,20,25
02-07 12:40,20,27
02-07 12:50,20,23
02-07 13:00,21,25
02-07 13:10,22,25
02-07 13:20,22,24
02-07 13:30,21,24
02-07 13:40,20,25
02-07 13:50,22,25
02-07 14:00,19,26
02-07 14:10,19,23
02-07 14:20,18,24
02-07 14:30,17,24
02-07 14:40,20,23
02-07 14:50,19,23
02-07 15:00,17,24
02-07 15:10,17,23
02-07 15:20,19,24
02-07 15:30,17,23
02-07 15:40,17,23
02-07 15:50,18,23
02-07 16:00,15,24
02-07 16:10,15,23
02-07 16:20,15,23
02-07 16:30,14,24
02-07 16:40,15,24
02-07 16:50,14,22
02-07 17:00,13,23
02-07 17:10,12,22
02-07 17:20,12,24
02-07 17:30,12,22
02-07 17:40,12,22
02-07 17:50,11,22
02-07 18:00,12,21
02-07 18:10,12,22
02-07 18:20,11,21
02-07 18:30,12,21
02-07 18:40,10,22
02-07 18:50,9,22
02-07 19:00,9,22
02-07 19:10,8,22
02-07 19:20,9,24
02-07 19:30,10,23
02-07 19:40,9,23
02-07 19:50,9,23
02-07 20:00,10,23
02-07 20:10,9,24
02-07 20:20,8,24
02-07 20:30,7,24
02-07 20:40,6,24
02-07 20:50,7,25
02-07 21:00,7,24
02-07 21:10,6,24
02-07 21:20,7,23
02-07 21:30,3,24
02-07 21:40,5,24
02-07 21:50,4,24
02-07 22:00,2,24
02-07 22:10,5,24
02-07 22:20,2,22
02-07 22:30,4,22
02-07 22:40,4,24
02-07 22:50,3,24
02-07 23:00,3,24
02-07 23:10,4,24
02-07 23:20,3,22
02-07 23:30,3,27
02-07 23:40,0,24
02-07 23:50,1,24
02-08 00:00,0,25
02-08 00:10,0,23
02-08 00:20,3,27
02-08 00:30,3,27
02-08 00:40,1,25
02-08 00:50,2,25
02-08 01:00,2,24
02-08 01:10,2,26
02-08 01:20,1,24
02-08 01:30,1,24
02-08 01:40,1,24
02-08 01:50,0,24
02-08 02:00,2,26
02-08 02:11,1,23
02-08 02:21,0,24
02-08 02:31,0,22
02-08 02:41,0,25
02-08 02:51,0,25
02-08 03:01,0,22
02-08 03:11,0,25
02-08 03:21,1,22
02-08 03:31,-1,24
02-08 03:41,0,24
02-08 03:51,0,26
02-08 04:01,0,24
02-08 04:11,0,22
02-08 04:21,0,24
02-08 04:31,0,24
02-08 04:41,-1,24
02-08 04:51,0,24
02-08 05:01,-1,23
02-08 05:11,0,25
02-08 05:21,-3,23
02-08 05:31,0,23
02-08 05:41,0,22
02-08 05:51,-1,23
02-08 06:01,-2,24
02-08 06:11,-2,23
02-08 06:21,-2,24
02-08 06:31,-3,23
02-08 06:41,-3,23
02-08 06:51,-3,22
02-08 07:01,-1,23
02-08 07:11,-1,23
02-08 07:21,-3,23
02-08 07:31,-2,24
02-08 07:41,-4,23
02-08 07:51,-2,24
02-08 08:01,-2,24
02-08 08:11,-4,24
02-08 08:21,-2,24
02-08 08:31,-2,24
02-08 08:41,-3,25
02-08 08:51,-2,25
02-08 09:01,0,26
02-08 09:11,0,26
02-08 09:21,2,26
02-08 09:31,2,26
02-08 09:41,3,26
02-08 09:51,6,27
02-08 10:01,5,27
02-08 10:11,5,27
02-08 10:21,7,29
02-08 10:31,10,27
02-08 10:41,11,27
02-08 10:51,12,26
02-08 11:01,12,27
02-08 11:11,14,25
02-08 11:21,13,25
02-08 11:31,15,25
02-08 11:41,15,25
02-08 11:51,16,25
02-08 12:00,15,25
02-08 12:10,16,25
02-08 12:20,18,26
02-08 12:30,18,26
02-08 12:40,19,24
02-08 12:50,20,24
02-08 13:00,19,23
02-08 13:10,20,22
02-08 13:20,20,24
02-08 13:30,18,22
02-08 13:40,20,22
02-08 13:50,20,25
02-08 14:00,21,24
02-08 14:10,21,24
02-08 14:20,21,26
02-08 14:30,21,23
02-08 14:40,19,23
