Time,Air Quality
02-13 12:40,167.0
02-13 12:50,182.0
02-13 13:00,201.0
02-13 13:10,212.0
02-13 13:20,220.0
02-13 13:30,216.0
02-13 13:40,216.0
02-13 13:50,215.0
02-13 14:00,210.0
02-13 14:10,198.0
02-13 14:20,191.0
02-13 14:30,186.0
02-13 14:40,182.0
02-13 14:50,175.0
02-13 15:00,171.0
02-13 15:10,163.0
02-13 15:20,134.0
02-13 15:30,105.0
02-13 15:40,83.0
02-13 15:50,90.0
02-13 16:00,95.0
02-13 16:10,99.0
02-13 16:20,102.0
02-13 16:30,104.0
02-13 16:40,110.0
02-13 16:50,115.0
02-13 17:00,116.0
02-13 17:10,111.0
02-13 17:20,112.0
02-13 17:30,119.0
02-13 17:40,125.0
02-13 17:50,132.0
02-13 18:00,135.0
02-13 18:10,135.0
02-13 18:20,135.0
02-13 18:30,134.0
02-13 18:40,132.0
02-13 18:50,130.0
02-13 19:00,131.0
02-13 19:10,131.0
02-13 19:20,132.0
02-13 19:30,133.0
02-13 19:40,129.0
02-13 19:50,124.0
02-13 20:00,117.0
02-13 20:10,118.0
02-13 20:20,114.0
02-13 20:30,108.0
02-13 20:40,103.0
02-13 20:50,99.0
02-13 21:00,93.0
02-13 21:10,83.0
02-13 21:20,76.0
02-13 21:30,72.0
02-13 21:40,64.0
02-13 21:50,59.0
02-13 22:00,47.0
02-13 22:10,41.0
02-13 22:20,36.0
02-13 22:30,34.0
02-13 22:40,34.0
02-13 22:50,32.0
02-13 23:00,32.0
02-13 23:10,34.0
02-13 23:20,37.0
02-13 23:30,39.0
02-13 23:40,39.0
02-13 23:50,40.0
02-14 00:00,35.0
02-14 00:10,35.0
02-14 00:20,34.0
02-14 00:30,34.0
02-14 00:40,32.0
02-14 00:50,36.0
02-14 01:00,38.0
02-14 01:10,43.0
02-14 01:20,41.0
02-14 01:30,40.0
02-14 01:40,41.0
02-14 01:50,37.0
02-14 02:00,35.0
02-14 02:10,34.0
02-14 02:20,36.0
02-14 02:30,37.0
02-14 02:40,35.0
02-14 02:50,31.0
02-14 03:00,32.0
02-14 03:10,32.0
02-14 03:20,29.0
02-14 03:31,25.0
02-14 03:41,19.0
02-14 03:51,16.0
02-14 04:01,11.0
02-14 04:11,6.0
02-14 04:21,6.0
02-14 04:31,0.0
02-14 04:41,-1.0
02-14 04:51,-5.0
02-14 05:01,-6.0
02-14 05:11,-4.0
02-14 05:21,-7.0
02-14 05:31,-6.0
02-14 05:41,-6.0
02-14 05:51,-6.0
02-14 06:01,-5.0
02-14 06:11,-6.0
02-14 06:21,-5.0
02-14 06:31,-6.0
02-14 06:41,-11.0
02-14 06:51,-19.0
02-14 07:01,-24.0
02-14 07:11,-18.0
02-14 07:21,-16.0
02-14 07:31,-11.0
02-14 07:41,-11.0
02-14 07:51,-11.0
02-14 08:01,-12.0
02-14 08:11,-5.0
02-14 08:21,-4.0
02-14 08:31,-8.0
02-14 08:41,-11.0
02-14 08:51,-12.0
02-14 09:01,-14.0
02-14 09:11,-19.0
02-14 09:21,-20.0
02-14 09:31,-17.0
02-14 09:41,-18.0
02-14 09:51,-21.0
02-14 10:01,-22.0
02-14 10:11,-17.0
02-14 10:21,-9.0
02-14 10:31,-4.0
02-14 10:41,0.0
02-14 10:51,5.0
02-14 11:01,15.0
02-14 11:11,21.0
02-14 11:21,26.0
02-14 11:31,34.0
02-14 11:41,45.0
02-14 11:51,55.0
02-14 12:00,77.0
02-14 12:10,87.0
02-14 12:20,95.0
02-14 12:30,112.0
02-14 12:40,127.0
02-14 12:50,145.0
02-14 13:00,155.0
02-14 13:10,164.0
02-14 13:20,174.0
02-14 13:30,176.0
02-14 13:40,174.0
02-14 13:50,162.0
02-14 14:00,158.0
02-14 14:10,153.0
02-14 14:20,151.0
02-14 14:30,144.0
02-14 14:40,144.0
02-14 14:50,146.0
02-14 15:00,73.0
02-14 15:10,-39.0
02-14 15:20,-138.0
02-14 15:30,-153.0
02-14 15:40,-123.0
02-14 15:50,-95.0
02-14 16:00,-78.0
02-14 16:10,-59.0
02-14 16:20,-43.0
02-14 16:30,-25.0
02-14 16:40,-12.0
02-14 16:50,-2.0
02-14 17:00,9.0
02-14 17:10,13.0
02-14 17:20,24.0
02-14 17:30,32.0
02-14 17:40,41.0
02-14 17:50,45.0
02-14 18:00,50.0
02-14 18:10,60.0
02-14 18:20,61.0
02-14 18:30,69.0
02-14 18:40,68.0
02-14 18:50,69.0
02-14 19:00,70.0
02-14 19:10,72.0
02-14 19:20,73.0
02-14 19:30,71.0
02-14 19:40,73.0
02-14 19:50,72.0
02-14 20:00,73.0
02-14 20:10,71.0
02-14 20:20,67.0
02-14 20:30,70.0
02-14 20:40,69.0
02-14 20:50,74.0
02-14 21:00,74.0
02-14 21:10,76.0
02-14 21:20,73.0
02-14 21:30,73.0
02-14 21:40,68.0
02-14 21:50,70.0
02-14 22:00,63.0
02-14 22:10,64.0
02-14 22:20,63.0
02-14 22:30,61.0
02-14 22:40,59.0
02-14 22:50,56.0
02-14 23:00,51.0
02-14 23:10,49.0
02-14 23:20,46.0
02-14 23:30,43.0
02-14 23:40,38.0
02-14 23:50,34.0
02-15 00:00,35.0
02-15 00:10,30.0
02-15 00:20,31.0
02-15 00:30,29.0
02-15 00:40,26.0
02-15 00:50,26.0
02-15 01:00,24.0
02-15 01:10,15.0
02-15 01:20,16.0
02-15 01:30,7.0
02-15 01:40,4.0
02-15 01:50,-3.0
02-15 02:00,-6.0
02-15 02:10,-11.0
02-15 02:20,-14.0
02-15 02:31,-15.0
02-15 02:41,-16.0
02-15 02:51,-16.0
02-15 03:01,-14.0
02-15 03:11,-15.0
02-15 03:21,-16.0
02-15 03:31,-15.0
02-15 03:41,-16.0
02-15 03:51,-14.0
02-15 04:01,-8.0
02-15 04:11,-8.0
02-15 04:21,-9.0
02-15 04:31,-11.0
02-15 04:41,-11.0
02-15 04:51,-10.0
02-15 05:01,-12.0
02-15 05:11,-11.0
02-15 05:21,-12.0
02-15 05:31,-14.0
02-15 05:41,-11.0
02-15 05:51,-11.0
02-15 06:01,-9.0
02-15 06:11,-14.0
02-15 06:21,-16.0
02-15 06:31,-19.0
02-15 06:41,-21.0
02-15 06:51,-19.0
02-15 07:01,-22.0
02-15 07:11,-19.0
02-15 07:21,-22.0
02-15 07:31,-24.0
02-15 07:41,-27.0
02-15 07:51,-33.0
02-15 08:01,-37.0
02-15 08:11,-39.0
02-15 08:21,-36.0
02-15 08:31,-30.0
02-15 08:41,-30.0
02-15 08:51,-29.0
02-15 09:01,-32.0
02-15 09:11,-30.0
02-15 09:21,-30.0
02-15 09:31,-28.0
02-15 09:41,-32.0
02-15 09:51,-33.0
02-15 10:01,-36.0
02-15 10:11,-37.0
02-15 10:21,-38.0
02-15 10:31,-35.0
02-15 10:41,-30.0
02-15 10:51,-27.0
02-15 11:01,-24.0
02-15 11:11,-17.0
02-15 11:21,-7.0
02-15 11:31,-1.0
02-15 11:41,4.0
02-15 11:51,9.0
02-15 12:00,25.0
02-15 12:10,26.0
02-15 12:20,32.0
02-15 12:30,38.0
02-15 12:40,44.0
02-15 12:50,44.0
02-15 13:00,47.0
02-15 13:10,46.0
02-15 13:20,47.0
02-15 13:30,43.0
02-15 13:40,42.0
02-15 13:50,43.0
02-15 14:00,49.0
02-15 14:10,53.0
02-15 14:20,56.0
02-15 14:30,53.0
02-15 14:40,59.0
02-15 14:50,61.0
02-15 15:00,66.0
02-15 15:10,63.0
02-15 15:20,67.0
02-15 15:30,73.0
02-15 15:40,79.0
02-15 15:50,81.0
02-15 16:00,79.0
02-15 16:10,76.0
02-15 16:20,79.0
02-15 16:30,80.0
02-15 16:40,80.0
02-15 16:50,78.0
02-15 17:00,82.0
02-15 17:10,83.0
02-15 17:20,83.0
02-15 17:30,81.0
02-15 17:40,79.0
02-15 17:50,77.0
02-15 18:00,82.0
02-15 18:10,88.0
02-15 18:20,89.0
02-15 18:30,89.0
02-15 18:40,91.0
02-15 18:50,93.0
02-15 19:00,93.0
02-15 19:10,93.0
02-15 19:20,91.0
02-15 19:30,92.0
02-15 19:40,93.0
02-15 19:50,92.0
02-15 20:00,94.0
02-15 20:10,92.0
02-15 20:20,91.0
02-15 20:30,91.0
02-15 20:40,91.0
02-15 20:50,89.0
02-15 21:00,87.0
02-15 21:10,89.0
02-15 21:20,90.0
02-15 21:30,90.0
02-15 21:40,91.0
02-15 21:50,91.0
02-15 22:00,91.0
02-15 22:10,91.0
02-15 22:20,90.0
02-15 22:30,88.0
02-15 22:40,86.0
02-15 22:50,86.0
02-15 23:00,82.0
02-15 23:10,82.0
02-15 23:20,81.0
02-15 23:30,79.0
02-15 23:40,76.0
02-15 23:50,71.0
02-16 00:00,65.0
02-16 00:10,60.0
02-16 00:20,55.0
02-16 00:30,52.0
02-16 00:40,47.0
02-16 00:50,48.0
02-16 01:00,45.0
02-16 01:10,44.0
02-16 01:20,44.0
02-16 01:30,46.0
02-16 01:40,47.0
02-16 01:50,49.0
02-16 02:00,51.0
02-16 02:10,54.0
02-16 02:20,56.0
02-16 02:30,58.0
02-16 02:41,57.0
02-16 02:51,53.0
02-16 03:01,46.0
02-16 03:11,38.0
02-16 03:21,28.0
02-16 03:31,18.0
02-16 03:41,6.0
02-16 03:51,-1.0
02-16 04:01,-12.0
02-16 04:11,-23.0
02-16 04:21,-36.0
02-16 04:31,-47.0
02-16 04:41,-58.0
02-16 04:51,-64.0
02-16 05:01,-68.0
02-16 05:11,-73.0
02-16 05:21,-75.0
02-16 05:31,-77.0
02-16 05:41,-80.0
02-16 05:51,-84.0
02-16 06:01,-85.0
02-16 06:11,-88.0
02-16 06:21,-89.0
02-16 06:31,-88.0
02-16 06:41,-90.0
02-16 06:51,-90.0
02-16 07:01,-89.0
02-16 07:11,-90.0
02-16 07:21,-89.0
02-16 07:31,-89.0
02-16 07:41,-85.0
02-16 07:51,-85.0
02-16 08:01,-84.0
02-16 08:11,-85.0
02-16 08:21,-92.0
02-16 08:31,-102.0
02-16 08:41,-108.0
02-16 08:51,-110.0
02-16 09:01,-113.0
02-16 09:11,-117.0
02-16 09:21,-116.0
02-16 09:31,-116.0
02-16 09:41,-115.0
02-16 09:51,-115.0
02-16 10:01,-115.0
02-16 10:11,-112.0
02-16 10:21,-110.0
02-16 10:31,-107.0
02-16 10:41,-109.0
02-16 10:51,-102.0
02-16 11:01,-96.0
02-16 11:11,-86.0
02-16 11:21,-81.0
02-16 11:31,-72.0
02-16 11:41,-62.0
02-16 11:51,-48.0
02-16 12:00,-18.0
02-16 12:10,-14.0
02-16 12:20,-8.0
02-16 12:30,5.0
02-16 12:40,18.0
02-16 12:50,32.0
02-16 13:00,46.0
02-16 13:10,64.0
02-16 13:20,83.0
02-16 13:30,96.0
02-16 13:40,112.0
02-16 13:50,124.0
02-16 14:00,134.0
02-16 14:10,146.0
02-16 14:20,155.0
02-16 14:30,166.0
02-16 14:40,173.0
02-16 14:50,183.0
02-16 15:00,189.0
02-16 15:10,138.0
02-16 15:20,85.0
02-16 15:30,37.0
02-16 15:40,49.0
02-16 15:50,67.0
02-16 16:00,82.0
02-16 16:10,100.0
02-16 16:20,119.0
02-16 16:30,135.0
02-16 16:40,144.0
02-16 16:50,152.0
02-16 17:00,159.0
02-16 17:10,166.0
02-16 17:20,173.0
02-16 17:30,182.0
02-16 17:40,191.0
02-16 17:50,193.0
02-16 18:00,197.0
02-16 18:10,202.0
02-16 18:20,206.0
02-16 18:30,209.0
02-16 18:40,214.0
02-16 18:50,221.0
02-16 19:00,225.0
02-16 19:10,229.0
02-16 19:20,232.0
02-16 19:30,234.0
02-16 19:40,234.0
02-16 19:50,231.0
02-16 20:00,229.0
02-16 20:10,223.0
02-16 20:20,220.0
02-16 20:30,217.0
02-16 20:40,214.0
02-16 20:50,212.0
02-16 21:00,210.0
02-16 21:10,212.0
02-16 21:20,213.0
02-16 21:30,211.0
02-16 21:40,204.0
02-16 21:50,197.0
02-16 22:00,188.0
02-16 22:10,178.0
02-16 22:20,169.0
02-16 22:30,162.0
02-16 22:40,157.0
02-16 22:50,149.0
02-16 23:00,142.0
02-16 23:10,138.0
02-16 23:20,138.0
02-16 23:30,138.0
02-16 23:40,135.0
02-16 23:50,130.0
02-17 00:00,127.0
02-17 00:10,123.0
02-17 00:20,119.0
02-17 00:30,117.0
02-17 00:40,113.0
02-17 00:50,110.0
02-17 01:00,106.0
02-17 01:10,103.0
02-17 01:20,101.0
02-17 01:30,97.0
02-17 01:40,97.0
02-17 01:50,92.0
02-17 02:00,92.0
02-17 02:11,88.0
02-17 02:21,84.0
02-17 02:31,79.0
02-17 02:41,72.0
02-17 02:51,64.0
02-17 03:01,53.0
02-17 03:11,48.0
02-17 03:21,42.0
02-17 03:31,37.0
02-17 03:41,34.0
02-17 03:51,33.0
02-17 04:01,28.0
02-17 04:11,26.0
02-17 04:21,24.0
02-17 04:31,24.0
02-17 04:41,19.0
02-17 04:51,20.0
02-17 05:01,17.0
02-17 05:11,16.0
02-17 05:21,13.0
02-17 05:31,9.0
02-17 05:41,12.0
02-17 05:51,13.0
02-17 06:01,13.0
02-17 06:11,10.0
02-17 06:21,4.0
02-17 06:31,-2.0
02-17 06:41,-7.0
02-17 06:51,-13.0
02-17 07:01,-10.0
02-17 07:11,-13.0
02-17 07:21,-11.0
02-17 07:31,-12.0
02-17 07:41,-14.0
02-17 07:51,-13.0
02-17 08:01,-13.0
02-17 08:11,-14.0
02-17 08:21,-13.0
02-17 08:31,-14.0
02-17 08:41,-12.0
02-17 08:51,-11.0
02-17 09:01,-9.0
02-17 09:11,-6.0
02-17 09:21,-4.0
02-17 09:31,-5.0
02-17 09:41,-9.0
02-17 09:51,-10.0
02-17 10:01,-10.0
02-17 10:11,-13.0
02-17 10:21,-67.0
02-17 10:31,-112.0
02-17 10:41,-149.0
02-17 10:51,-132.0
02-17 11:01,-124.0
02-17 11:11,-123.0
02-17 11:21,-120.0
02-17 11:31,-120.0
02-17 11:41,-118.0
02-17 11:51,-121.0
02-17 12:00,-136.0
02-17 12:10,-124.0
02-17 12:20,-82.0
02-17 12:30,-60.0
02-17 12:40,-52.0
02-17 12:50,-90.0
02-17 13:00,-106.0
02-17 13:10,-118.0
02-17 13:20,-128.0
02-17 13:30,-134.0
02-17 13:40,-135.0
02-17 13:50,-151.0
02-17 14:00,-164.0
02-17 14:10,-144.0
02-17 14:20,-90.0
02-17 14:30,-32.0
02-17 14:40,-16.0
02-17 14:50,-17.0
02-17 15:00,-23.0
02-17 15:10,-42.0
02-17 15:20,-48.0
02-17 15:30,-49.0
02-17 15:40,-15.0
02-17 15:50,15.0
02-17 16:00,31.0
02-17 16:10,43.0
02-17 16:20,45.0
02-17 16:30,36.0
02-17 16:40,40.0
02-17 16:50,11.0
02-17 17:00,22.0
02-17 17:10,41.0
02-17 17:20,42.0
02-17 17:30,-36.0
02-17 17:40,-130.0
02-18 12:00,366.0
02-19 12:00,135.0
02-19 12:10,157.0
02-19 12:20,174.0
02-19 12:30,214.0
02-19 12:40,245.0
02-19 12:50,271.0
02-19 13:00,286.0
02-19 13:10,280.0
02-19 13:20,173.0
02-19 13:30,49.0
02-19 13:40,-74.0
02-19 13:50,-86.0
02-19 14:00,-85.0
02-19 14:10,-56.0
02-19 14:20,-44.0
02-19 14:30,-40.0
02-19 14:40,-59.0
02-19 14:50,-72.0
02-19 15:00,-62.0
02-19 15:29,-52.0
02-19 15:39,-56.0
02-19 15:49,-69.0
02-19 15:59,-51.0
02-19 16:09,-8.0
02-19 16:19,35.0
02-19 16:29,71.0
02-19 16:39,104.0
02-19 16:49,131.0
02-19 16:59,157.0
02-19 17:09,144.0
02-19 17:19,137.0
02-19 17:29,130.0
02-19 17:39,153.0
02-19 17:49,180.0
02-19 17:59,204.0
02-19 18:09,217.0
02-19 18:19,228.0
02-19 18:29,238.0
02-19 18:39,246.0
02-19 18:49,249.0
02-19 18:59,253.0
02-19 19:09,251.0
02-19 19:19,256.0
02-19 19:29,258.0
02-19 19:39,267.0
02-19 19:49,265.0
02-19 19:59,252.0
02-19 20:09,249.0
02-19 20:19,251.0
02-19 20:29,253.0
02-19 20:39,249.0
02-19 20:49,244.0
02-19 20:59,241.0
02-19 21:09,234.0
02-19 21:19,231.0
02-19 21:29,233.0
02-19 21:39,231.0
02-19 21:49,226.0
02-19 21:59,220.0
02-19 22:09,218.0
02-19 22:19,219.0
02-19 22:29,214.0
02-19 22:39,208.0
02-19 22:49,207.0
02-19 22:59,208.0
02-19 23:09,208.0
02-19 23:19,205.0
02-19 23:29,204.0
02-19 23:39,202.0
02-19 23:49,201.0
02-19 23:59,200.0
02-20 00:09,196.0
02-20 00:19,193.0
02-20 00:29,185.0
02-20 00:39,176.0
02-20 00:49,171.0
02-20 00:59,173.0
02-20 01:09,173.0
02-20 01:19,170.0
02-20 01:29,164.0
02-20 01:39,161.0
02-20 01:49,156.0
02-20 01:59,155.0
02-20 02:09,151.0
02-20 02:19,147.0
02-20 02:29,147.0
02-20 02:39,141.0
02-20 02:49,143.0
02-20 02:59,138.0
02-20 03:09,139.0
02-20 03:19,134.0
02-20 03:29,133.0
02-20 03:39,128.0
02-20 03:49,128.0
02-20 03:59,130.0
02-20 04:09,124.0
02-20 04:19,124.0
02-20 04:29,117.0
02-20 04:39,115.0
02-20 04:49,109.0
02-20 04:59,105.0
02-20 05:09,102.0
02-20 05:19,103.0
02-20 05:29,102.0
02-20 05:39,101.0
02-20 05:49,97.0
02-20 05:59,93.0
02-20 06:09,89.0
02-20 06:19,87.0
02-20 06:29,86.0
02-20 06:39,90.0
02-20 06:49,93.0
02-20 06:59,101.0
02-20 07:09,101.0
02-20 07:19,97.0
02-20 07:29,94.0
02-20 07:39,91.0
02-20 07:49,90.0
02-20 07:59,94.0
02-20 08:09,92.0
02-20 08:19,83.0
02-20 08:29,73.0
02-20 08:40,71.0
02-20 08:50,71.0
02-20 09:00,74.0
02-20 09:10,78.0
02-20 09:20,75.0
02-20 09:30,75.0
02-20 09:40,73.0
02-20 09:50,71.0
02-20 10:00,73.0
02-20 10:10,73.0
02-20 10:20,73.0
02-20 10:30,71.0
02-20 10:40,74.0
02-20 10:50,74.0
02-20 11:00,69.0
02-20 11:10,70.0
02-20 11:20,71.0
02-20 11:30,80.0
02-20 11:40,86.0
02-20 11:50,100.0
02-20 12:00,127.0
02-20 12:10,130.0
02-20 12:20,144.0
02-20 12:30,163.0
02-20 12:40,196.0
02-20 12:50,223.0
02-20 13:00,246.0
02-20 13:10,254.0
02-20 13:20,269.0
02-20 13:30,284.0
02-20 13:40,295.0
02-20 13:50,297.0
02-20 14:00,309.0
02-20 14:10,316.0
02-20 14:20,322.0
02-20 14:45,322.0
02-20 14:45,324.0
02-20 14:45,331.0
02-20 14:45,329.0
02-20 14:45,331.0
02-20 14:45,331.0
02-20 14:45,329.0
02-20 14:45,331.0
02-20 14:45,332.0
02-20 14:45,334.0
02-20 14:45,335.0
02-20 14:45,333.0
02-20 14:45,332.0
02-20 14:45,331.0
02-20 14:46,333.0
02-20 14:46,334.0
02-20 14:46,333.0
02-20 14:46,335.0
02-20 14:46,332.0
02-20 14:46,330.0
02-20 14:46,331.0
02-20 14:46,330.0
02-20 14:46,330.0
02-20 14:46,328.0
02-20 14:46,327.0
02-20 14:46,328.0
02-20 14:46,326.0
02-20 14:46,328.0
02-20 14:46,330.0
02-20 14:46,331.0
02-20 14:46,331.0
02-20 14:46,330.0
02-20 14:46,332.0
02-20 14:46,332.0
02-20 14:47,330.0
02-20 14:47,332.0
02-20 14:47,332.0
02-20 14:47,330.0
02-20 14:47,330.0
02-20 14:47,330.0
02-20 14:47,330.0
02-20 14:47,331.0
02-20 14:47,333.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,330.0
02-20 14:47,331.0
02-20 14:47,329.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,332.0
02-20 14:47,334.0
02-20 14:47,333.0
02-20 14:47,332.0
02-20 14:47,332.0
02-20 14:47,332.0
02-20 14:47,329.0
02-20 14:47,332.0
02-20 14:47,331.0
02-20 14:47,331.0
02-20 14:47,332.0
02-20 14:47,329.0
02-20 14:47,331.0
02-20 14:47,333.0
02-20 14:47,332.0
02-20 14:47,331.0
02-20 14:47,332.0
02-20 14:47,333.0
02-20 14:48,332.0
02-20 14:48,332.0
02-20 14:48,333.0
02-20 14:48,332.0
02-20 14:48,332.0
02-20 14:48,333.0
02-20 14:48,332.0
02-20 14:48,332.0
02-20 14:48,333.0
02-20 14:48,331.0
02-20 14:48,331.0
02-20 14:48,331.0
02-20 14:48,331.0
02-20 14:48,329.0
02-20 14:48,331.0
02-20 14:48,331.0
02-20 14:48,331.0
02-20 14:48,332.0
02-20 14:48,330.0
02-20 14:48,333.0
02-20 14:48,332.0
02-20 14:48,331.0
02-20 14:48,332.0
02-20 14:48,330.0
02-20 14:48,330.0
02-20 14:48,330.0
02-20 14:48,330.0
02-20 14:48,330.0
02-20 14:48,325.0
02-20 14:48,325.0
02-20 14:48,321.0
02-20 14:48,317.0
02-20 14:48,317.0
02-20 14:48,320.0
02-20 14:48,323.0
02-20 14:48,327.0
02-20 14:48,328.0
02-20 14:48,329.0
02-20 14:48,330.0
02-20 14:48,331.0
02-20 14:48,331.0
02-20 14:48,330.0
02-20 14:48,331.0
02-20 14:48,330.0
02-20 14:48,336.0
02-20 14:49,339.0
02-20 14:49,346.0
02-20 14:49,343.0
02-20 14:49,339.0
02-20 14:49,337.0
02-20 14:59,334.0
02-20 15:22,331.0
02-20 15:22,328.0
02-20 15:22,337.0
02-20 15:22,345.0
02-20 15:22,357.0
02-20 15:22,355.0
02-20 15:22,351.0
02-20 15:22,348.0
02-20 15:23,348.0
02-20 15:23,344.0
02-20 15:23,346.0
02-20 15:23,343.0
02-20 15:23,344.0
02-20 15:23,344.0
02-20 15:23,344.0
02-20 15:23,343.0
02-20 15:24,345.0
02-20 15:24,342.0
02-20 15:24,343.0
02-20 15:24,342.0
02-20 15:24,341.0
02-20 15:24,343.0
02-20 15:24,341.0
02-20 15:24,342.0
02-20 15:25,342.0
02-20 15:25,343.0
02-20 15:25,342.0
02-20 15:25,342.0
02-20 15:25,344.0
02-20 15:25,341.0
02-20 15:25,341.0
02-20 15:25,344.0
02-20 15:26,342.0
02-20 15:26,341.0
02-20 15:26,341.0
02-20 15:26,341.0
02-20 15:26,340.0
02-20 15:26,342.0
02-20 15:26,342.0
02-20 15:26,343.0
02-20 15:27,342.0
02-20 15:27,342.0
02-20 15:27,345.0
02-20 15:27,343.0
02-20 15:27,344.0
02-20 15:27,343.0
02-20 15:27,341.0
02-20 15:27,342.0
02-20 15:28,344.0
02-20 15:28,342.0
02-20 15:28,343.0
02-20 15:28,344.0
02-20 15:28,341.0
02-20 15:28,340.0
02-20 15:28,341.0
02-20 15:28,339.0
02-20 15:29,339.0
02-20 15:29,343.0
02-20 15:29,347.0
02-20 15:29,348.0
02-20 15:29,346.0
02-20 15:29,345.0
02-20 15:29,343.0
02-20 15:29,345.0
02-20 15:30,343.0
02-20 15:30,343.0
02-20 15:30,344.0
02-20 15:30,341.0
02-20 15:30,342.0
02-20 15:30,341.0
02-20 15:30,344.0
02-20 15:30,344.0
02-20 15:31,343.0
02-20 15:31,342.0
02-20 15:31,342.0
02-20 15:31,340.0
02-20 15:31,341.0
02-20 15:31,344.0
02-20 15:31,342.0
02-20 15:31,342.0
02-20 15:32,342.0
02-20 15:32,342.0
02-20 15:32,342.0
02-20 15:32,340.0
02-20 15:32,340.0
02-20 15:32,340.0
02-20 15:32,339.0
02-20 15:32,338.0
02-20 15:33,339.0
02-20 15:33,338.0
02-20 15:33,341.0
02-20 15:33,340.0
02-20 15:33,342.0
02-20 15:33,342.0
02-20 15:33,342.0
02-20 15:33,343.0
02-20 15:34,341.0
02-20 15:34,343.0
02-20 15:34,341.0
02-20 15:34,345.0
02-20 15:34,342.0
02-20 15:34,341.0
02-20 15:34,343.0
02-20 15:34,343.0
02-20 15:35,340.0
02-20 15:35,340.0
02-20 15:35,338.0
02-20 15:35,340.0
02-20 15:35,337.0
02-20 16:08,333.0
02-20 16:08,329.0
02-20 16:08,330.0
02-20 16:08,330.0
02-20 16:08,327.0
02-20 16:08,327.0
02-20 16:08,327.0
02-20 16:08,325.0
02-20 16:09,324.0
02-20 16:09,331.0
02-20 16:09,339.0
02-20 16:09,348.0
02-20 16:09,347.0
02-20 16:09,345.0
02-20 16:09,343.0
02-20 16:09,343.0
02-20 16:09,344.0
02-20 16:10,342.0
02-20 16:10,339.0
02-20 16:10,342.0
02-20 16:10,341.0
02-20 16:10,342.0
02-20 16:10,342.0
02-20 16:10,344.0
02-20 16:10,341.0
02-20 16:11,342.0
02-20 16:11,340.0
02-20 16:11,342.0
02-20 16:11,342.0
02-20 16:11,342.0
02-20 16:11,344.0
02-20 16:12,345.0
02-20 16:12,346.0
02-20 16:12,347.0
02-20 16:12,348.0
02-20 16:12,348.0
02-20 16:12,349.0
02-20 16:12,350.0
02-20 16:12,353.0
02-20 16:13,350.0
02-20 16:13,352.0
02-20 16:13,354.0
02-20 16:13,353.0
02-20 16:13,355.0
02-20 16:13,354.0
02-20 16:13,353.0
02-20 16:14,354.0
02-20 16:14,356.0
02-20 16:14,356.0
02-20 16:14,358.0
02-20 16:14,357.0
02-20 16:14,357.0
02-20 16:14,360.0
02-20 16:14,360.0
02-20 16:15,357.0
02-20 16:15,357.0
02-20 16:15,359.0
02-20 16:15,361.0
02-20 16:15,355.0
02-20 16:15,355.0
02-20 16:15,362.0
02-20 16:15,368.0
02-20 16:16,370.0
02-20 16:16,368.0
02-20 16:16,368.0
02-20 16:16,362.0
02-20 16:16,361.0
02-20 16:16,362.0
02-20 16:16,364.0
02-20 16:17,362.0
02-20 16:17,362.0
02-20 16:17,363.0
02-20 16:17,362.0
02-20 16:17,361.0
02-20 16:17,362.0
02-20 16:17,363.0
02-20 16:17,363.0
02-20 16:18,363.0
02-20 16:18,363.0
02-20 16:18,364.0
02-20 16:18,366.0
02-20 16:18,363.0
02-20 16:18,362.0
02-20 16:18,363.0
02-20 16:18,363.0
02-20 16:19,363.0
02-20 16:19,363.0
02-20 16:19,363.0
02-20 16:19,362.0
02-20 16:19,363.0
02-20 16:19,365.0
02-20 16:19,362.0
02-20 16:20,365.0
02-20 16:20,363.0
02-20 16:20,365.0
02-20 16:20,363.0
02-20 16:20,364.0
02-20 16:20,364.0
02-20 16:20,363.0
02-20 16:21,363.0
02-20 16:21,363.0
02-20 16:21,364.0
02-20 16:21,364.0
02-20 16:21,366.0
02-20 16:21,364.0
02-20 16:21,364.0
02-20 16:21,363.0
02-20 16:22,363.0
02-20 16:22,363.0
02-20 16:22,362.0
02-20 16:22,360.0
02-20 16:22,364.0
02-20 16:22,369.0
02-20 16:22,374.0
02-20 16:22,370.0
02-20 16:23,368.0
02-20 16:23,364.0
02-20 16:23,362.0
02-20 16:23,361.0
02-20 16:23,360.0
02-20 16:23,361.0
02-20 16:23,359.0
02-20 16:23,359.0
02-20 16:23,358.0
02-20 16:24,358.0
02-20 16:24,358.0
02-20 16:24,358.0
02-20 16:24,357.0
02-20 16:24,356.0
02-20 16:24,356.0
02-20 16:24,356.0
02-20 16:25,355.0
02-20 16:25,355.0
02-20 16:25,357.0
02-20 16:25,356.0
02-20 16:25,354.0
02-20 16:25,354.0
02-20 16:25,354.0
02-20 16:25,356.0
02-20 16:26,354.0
02-20 16:26,354.0
02-20 16:26,353.0
02-20 16:26,352.0
02-20 16:26,352.0
02-20 16:26,351.0
