Time, Pressure MBar
02-03 16:20,1022
02-03 16:30,1022
02-03 16:40,1022
02-03 16:50,1022
02-03 17:00,1022
02-03 17:10,1022
02-03 17:20,1022
02-03 17:30,1022
02-03 17:40,1022
02-03 17:50,1023
02-03 18:00,1023
02-03 18:10,1023
02-03 18:20,1023
02-03 18:31,1023
02-03 18:41,1023
02-03 18:51,1023
02-03 19:01,1023
02-03 19:11,1023
02-03 19:21,1023
02-03 19:31,1023
02-03 19:41,1023
02-03 19:51,1023
02-03 20:01,1023
02-03 20:11,1023
02-03 20:21,1023
02-03 20:31,1023
02-04 12:00,1027
02-04 12:10,1027
02-04 12:20,1027
02-04 12:30,1027
02-04 12:40,1027
02-04 12:50,1027
02-04 13:00,1027
02-04 13:10,1027
02-04 13:20,1027
02-04 13:30,1027
02-04 13:40,1027
02-04 13:50,1027
02-04 14:00,1027
02-04 14:10,1027
02-04 14:20,1027
02-04 14:30,1026
02-04 14:40,1026
02-04 14:50,1026
02-04 15:00,1026
02-04 15:10,1027
02-04 15:20,1027
02-04 15:30,1027
02-04 15:40,1027
02-04 15:50,1027
02-04 16:00,1027
02-04 16:10,1027
02-04 16:20,1027
02-04 16:30,1027
02-04 16:40,1027
02-04 16:50,1027
02-04 17:00,1027
02-06 12:00,1038
02-06 12:10,1038
02-06 12:20,1038
02-06 12:30,1037
02-06 12:40,1037
02-06 12:50,1037
02-06 13:00,1037
02-06 13:10,1037
02-06 13:20,1037
02-06 13:30,1037
02-06 13:40,1037
02-06 13:50,1036
02-06 14:00,1036
02-06 14:10,1036
02-06 14:20,1036
02-06 14:30,1036
02-06 14:40,1036
02-06 14:50,1036
02-06 15:00,1036
02-06 15:10,1036
02-06 15:20,1036
02-06 15:30,1036
02-06 15:40,1036
02-06 15:50,1036
02-06 16:00,1036
02-06 16:10,1036
02-06 16:20,1035
02-06 16:30,1035
02-06 16:40,1035
02-06 16:50,1035
02-06 17:00,1035
02-06 17:03,1035
02-06 17:13,1035
02-06 17:23,1035
02-06 17:33,1035
02-06 17:43,1035
02-06 17:53,1035
02-07 12:00,1035
02-07 12:10,1035
02-07 12:20,1035
02-07 12:30,1034
02-07 12:40,1034
02-07 12:50,1034
02-07 13:00,1034
02-07 13:10,1034
02-07 13:20,1034
02-07 13:30,1034
02-07 13:40,1034
02-07 13:50,1034
02-07 14:00,1034
02-07 14:10,1034
02-07 14:20,1034
02-07 14:30,1034
02-07 14:40,1034
02-07 14:50,1034
02-07 15:00,1034
02-07 15:10,1034
02-07 15:20,1034
02-07 15:30,1034
02-07 15:40,1034
02-07 15:50,1034
02-07 16:00,1034
02-07 16:10,1034
02-07 16:20,1034
02-07 16:30,1034
02-07 16:40,1034
02-07 16:50,1034
02-07 17:00,1034
02-07 17:10,1034
02-07 17:20,1034
02-07 17:30,1034
02-07 17:40,1034
02-07 17:50,1034
02-07 18:00,1034
02-07 18:10,1034
02-07 18:20,1034
02-07 18:30,1034
02-07 18:40,1034
02-07 18:50,1034
02-07 19:00,1034
02-07 19:10,1034
02-07 19:20,1034
02-07 19:30,1034
02-07 19:40,1034
02-07 19:50,1034
02-07 20:00,1034
02-07 20:10,1034
02-07 20:20,1034
02-07 20:30,1034
02-07 20:40,1034
02-07 20:50,1034
02-07 21:00,1034
02-07 21:10,1034
02-07 21:20,1034
02-07 21:30,1034
02-07 21:40,1034
02-07 21:50,1034
02-07 22:00,1034
02-07 22:10,1034
02-07 22:20,1034
02-07 22:30,1034
02-07 22:40,1034
02-07 22:50,1034
02-07 23:00,1034
02-07 23:10,1034
02-07 23:20,1034
02-07 23:30,1034
02-07 23:40,1034
02-07 23:50,1034
02-08 00:00,1034
02-08 00:10,1034
